Product Name,Product Currency,Product Price,Product Brand,Product Description,Product Page Link,Product Image Link,Category,Sub-Category,Rating,Source,Available,Delivery,Release Date
Dettol Antiseptic Disinfectant All-Purpose Surface Cleaner – 725ml – 3 PCs,EGP,199,Dettol,"-Brand: Dettol 
-Antiseptic Disinfectant All 
-Purpose Surface Cleaner 
-725ml 
-3 PCs 
",https://www.jumia.com.eg/antiseptic-disinfectant-all-purpose-surface-cleaner-725ml-3-pcs-dettol-mpg816328.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/227022/1.jpg?0154,Supermarket,Household Supplies,4.5 out of 5,Jumia,True,True,"September 30,2021"
Dettol Original Anti-Bacterial Liquid Hand Wash - 200 ml – 2 PCs,EGP,49,Dettol,"-Brand: Dettol 
-Original Anti 
-Bacterial Liquid Hand Wash 
-200 ml 
-2 PCs 
",https://www.jumia.com.eg/original-anti-bacterial-liquid-hand-wash-200-ml-2-pcs-dettol-mpg816322.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/227022/1.jpg?8745,Supermarket,Household Supplies,4.2 out of 5,Jumia,True,True,"September 30,2021"
Finish Dishwasher Tabs - 13 Tabs - 3 Packs,EGP,169,Finish,"-Finish All in 1 
-Thanks to its unique technology, our powerful tabs deliver a powerful clean even in the toughest conditions – which means you’ll never have to re-wash your pots, pans and dishes! 
-Our revolutionary Pre-Soaking Powerball fizzes into action dispersing deep cleaning agents that remove the toughest food residues like dried-on lasagna and porridge oats. 
-Our powerful cleaners remove even the toughest stains, like coffee and tea, and gently scrub your dishes and glasses sparkling clean. 
-Salt and Rinse aid action rinses away residues and helps to eliminate spots and film, delivering sparkling shine. 
-Deep Cleaning fizz Action 
-Removes the toughest food residues 
-Removes Toughest stains 
-Eliminates spots and film 
-Each tablet is individually wrapped for freshness. 
",https://www.jumia.com.eg/finish-dishwasher-tabs-13-tabs-3-packs-20134914.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/943102/1.jpg?4265,Supermarket,Household Supplies,4.8 out of 5,Jumia,True,True,"September 30,2021"
Vanish Liquid Fabric Stain Remover - 900ml - 2Pack,EGP,70,Vanish,"-Vanish 
-Liquid 
-Fabric Stain Remover 
-900ml 
-Pack Of 2 
",https://www.jumia.com.eg/vanish-liquid-fabric-stain-remover-900ml-2pack-18312465.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/421381/1.jpg?3898,Supermarket,Household Supplies,4.7 out of 5,Jumia,True,True,"September 30,2021"
Dettol Family Pack - 30% OFF,EGP,116,Dettol,"-Dettol Antiseptic Disinfectant liquid is a concentrated antiseptic solution 
-Kills bacteria 
-Provides protection against germs which can cause infection and illness 
-Kills germs on skin 
-Protects against infection from cuts, scratches, and insect bites 
-Household disinfectant 
-Used on Surfaces or in laundry 
-Recommended by Doctors 
",https://www.jumia.com.eg/dettol-family-pack-30-off-21116945.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/961112/1.jpg?8446,Supermarket,Household Supplies,4.4 out of 5,Jumia,True,True,"September 30,2021"
Durex Performax Intense Condoms - 10 Pcs – 3 Packs,EGP,285,Durex,"-Brand: Durex 
-Performax Intense Condoms 
-10 Pcs 
-3 Packs 
",https://www.jumia.com.eg/performax-intense-condoms-10-pcs-3-packs-durex-mpg816291.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/227022/1.jpg?7187,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Harpic Wave In Toilet Block Sparkling Citrus – 2 Pcs,EGP,32,Harpic,"-Harpic Fresh Power 6 Sparkling Citrus generates cleaning foam, has limescale action while helping with dirt removal, giving the toilet bowl an extra shine that helps maintain a shiny toilet. 
-It can last up to 4 weeks and provides a sweet smiling and pleasant fragrance with added cleaning foam for extra wash. 
-6 action formula with superior foaming 
-Lasts for upto 4 weeks, giving constant results 
-Unique wave shape for durability 
-Colourful & aesthetically pleasing in the bowl and offers new range of pleasant fragrances 
",https://www.jumia.com.eg/harpic-wave-in-toilet-block-sparkling-citrus-2-pcs-20134917.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/943102/1.jpg?9761,Supermarket,Household Supplies,4.5 out of 5,Jumia,True,True,"September 30,2021"
Durex Extra Safe Condoms- 12 Pcs – 3 Packs,EGP,285,Durex,"-Brand: Durex 
-Extra Safe Condoms 
-12 Pcs 
-3 Packs 
",https://www.jumia.com.eg/extra-safe-condoms-12-pcs-3-packs-durex-mpg816334.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/227022/1.jpg?7156,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Durex Pleasure Me Condoms - 12 Pcs - 3 Packs,EGP,285,Durex,"-Brand: Durex 
-Pleasure Me Condoms 
-12 Pcs 
-3 Packs 
",https://www.jumia.com.eg/pleasure-me-condoms-12-pcs-3-packs-durex-mpg816289.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/227022/1.jpg?7227,Supermarket,Household Supplies,4.4 out of 5,Jumia,True,True,"September 30,2021"
Finish Classic Powder Dishwasher Detergent – 1Kg - 2+1 Pack,EGP,179,Finish,"-1 Kg 
-Has deep cleaning power that removes tough food stains first time and every time 
-Finish is the worldwide leader in dishwashing 
-Advanced Deep Cleaning Power 
",https://www.jumia.com.eg/regular-powder-dishwasher-detergent-1kg-21-pack-finish-mpg157781.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/421381/1.jpg?9964,Supermarket,Household Supplies,4.7 out of 5,Jumia,True,True,"September 30,2021"
